"ARO"	"ARO_name"	"resistance_to_drug_classes"	"confers_resistance_to"	"resistance_to_drug_classes_names"	"confers_resistance_to_names"
"ARO:3000197"	"tet(36)"	"ARO:3000050"	"ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668"	"tetracycline antibiotic"	"tetracycline,doxycycline,minocycline,chlortetracycline,demeclocycline,oxytetracycline"
"ARO:3000198"	"FosX"	"ARO:3007149"	"ARO:0000025"	"phosphonic acid antibiotic"	"fosfomycin"
"ARO:3000205"	"tet(X)"	"ARO:0000042,ARO:3000050"	"ARO:0000030,ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668"	"glycylcycline,tetracycline antibiotic"	"tigecycline,tetracycline,doxycycline,minocycline,chlortetracycline,demeclocycline,oxytetracycline"
"ARO:3000206"	"emrK"	"ARO:3000050"	"ARO:0000051"	"tetracycline antibiotic"	"tetracycline"
"ARO:3000215"	"mecR1"	"ARO:3000008"	"ARO:0000015"	"penicillin beta-lactam"	"methicillin"
"ARO:3000216"	"acrB"	"ARO:0000001,ARO:0000032,ARO:0000042,ARO:3000008,ARO:3000050,ARO:3000157,ARO:3000387,ARO:3005386"	"ARO:0000030,ARO:0000045,ARO:0000051,ARO:3000169,ARO:3000385,ARO:3000637,ARO:3000704,ARO:3000870"	"fluoroquinolone antibiotic,cephalosporin,glycylcycline,penicillin beta-lactam,tetracycline antibiotic,rifamycin antibiotic,phenicol antibiotic,disinfecting agents and antiseptics"	"tigecycline,acriflavine,tetracycline,rifampin,chloramphenicol,ampicillin,cefalotin,triclosan"
"ARO:3000217"	"blaR1"	"ARO:3000008"	"ARO:"	"penicillin beta-lactam"	""
"ARO:3000230"	"ANT(2'')-Ia"	"ARO:0000016"	"ARO:0000007,ARO:0000035,ARO:0000049,ARO:0000052,ARO:3007382"	"aminoglycoside antibiotic"	"dibekacin,sisomicin,kanamycin A,tobramycin,gentamicin"
"ARO:3000236"	"glycopeptide resistance gene cluster VanA"	"ARO:3000081"	"ARO:0000028,ARO:0000029"	"glycopeptide antibiotic"	"vancomycin,teicoplanin"
"ARO:3000237"	"TolC"	"ARO:0000000,ARO:0000001,ARO:0000016,ARO:0000020,ARO:0000032,ARO:0000042,ARO:3000008,ARO:3000050,ARO:3000053,ARO:3000103,ARO:3000157,ARO:3000387,ARO:3005386"	"ARO:0000006,ARO:0000011,ARO:0000014,ARO:0000030,ARO:0000036,ARO:0000039,ARO:0000040,ARO:0000051,ARO:0000052,ARO:0000056,ARO:0000060,ARO:0000070,ARO:0000078,ARO:3000111,ARO:3000158,ARO:3000169,ARO:3000170,ARO:3000385,ARO:3000454,ARO:3000625,ARO:3000626,ARO:3000627,ARO:3000628,ARO:3000637,ARO:3000661,ARO:3000662,ARO:3000704,ARO:3000870,ARO:3003832,ARO:3007382"	"macrolide antibiotic,fluoroquinolone antibiotic,aminoglycoside antibiotic,carbapenem,cephalosporin,glycylcycline,penicillin beta-lactam,tetracycline antibiotic,peptide antibiotic,aminocoumarin antibiotic,rifamycin antibiotic,phenicol antibiotic,disinfecting agents and antiseptics"	"erythromycin,cloxacillin,gentamicin C,tigecycline,ciprofloxacin,spectinomycin,streptomycin,tetracycline,tobramycin,oxacillin,ceftazidime,ertapenem,piperacillin,novobiocin,azithromycin,rifampin,imipenem,chloramphenicol,polymyxin B,polymyxin B1,polymyxin B2,polymyxin B3,polymyxin B4,ampicillin,nalidixic acid,norfloxacin,cefalotin,triclosan,ticarcillin,gentamicin"
"ARO:3000238"	"glycopeptide resistance gene cluster VanB"	"ARO:3000081"	"ARO:0000028"	"glycopeptide antibiotic"	"vancomycin"
"ARO:3000245"	"RbpA"	"ARO:3000157"	"ARO:3000169,ARO:3000517,ARO:3000530,ARO:3000534"	"rifamycin antibiotic"	"rifampin,rifaximin,rifabutin,rifapentine"
"ARO:3000246"	"glycopeptide resistance gene cluster VanC"	"ARO:3000081"	"ARO:0000028"	"glycopeptide antibiotic"	"vancomycin"
"ARO:3000250"	"ErmC"	"ARO:0000000,ARO:0000017,ARO:0000026,ARO:0000034,ARO:0000050"	"ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867"	"macrolide antibiotic,lincosamide antibiotic,streptogramin antibiotic,streptogramin A antibiotic,streptogramin B antibiotic"	"erythromycin,roxithromycin,lincomycin,telithromycin,clarithromycin,clindamycin,tylosin,spiramycin,azithromycin,dirithromycin,pristinamycin IA,quinupristin,virginiamycin M1,madumycin II,griseoviridin,dalfopristin,pristinamycin IB,virginiamycin S2,pristinamycin IC,vernamycin C,patricin A,patricin B,ostreogrycin B3,oleandomycin"
"ARO:3000251"	"msrA"	"ARO:0000000,ARO:0000026,ARO:0000050"	"ARO:0000006,ARO:3000584"	"macrolide antibiotic,streptogramin antibiotic,streptogramin B antibiotic"	"erythromycin,quinupristin"
"ARO:3000253"	"glycopeptide resistance gene cluster VanD"	"ARO:3000081"	"ARO:0000028,ARO:0000029"	"glycopeptide antibiotic"	"vancomycin,teicoplanin"
"ARO:3000254"	"emrY"	"ARO:3000050"	"ARO:0000051"	"tetracycline antibiotic"	"tetracycline"
"ARO:3000255"	"glycopeptide resistance gene cluster VanF"	"ARO:3000081"	"ARO:0000028"	"glycopeptide antibiotic"	"vancomycin"
"ARO:3000256"	"glycopeptide resistance gene cluster VanM"	"ARO:3000081"	"ARO:0000028,ARO:0000029"	"glycopeptide antibiotic"	"vancomycin,teicoplanin"
"ARO:3000257"	"glycopeptide resistance gene cluster VanG"	"ARO:3000081"	"ARO:0000028"	"glycopeptide antibiotic"	"vancomycin"
"ARO:3000259"	"glycopeptide resistance gene cluster VanE"	"ARO:3000081"	"ARO:0000028"	"glycopeptide antibiotic"	"vancomycin"
"ARO:3000260"	"glycopeptide resistance gene cluster VanL"	"ARO:3000081"	"ARO:0000028"	"glycopeptide antibiotic"	"vancomycin"
"ARO:3000263"	"marA"	"ARO:0000001,ARO:0000004,ARO:0000020,ARO:0000032,ARO:0000042,ARO:3000008,ARO:3000050,ARO:3000157,ARO:3000387,ARO:3005386"	"ARO:0000030,ARO:0000051,ARO:3000169,ARO:3000385,ARO:3000637,ARO:3000704,ARO:3000870"	"fluoroquinolone antibiotic,monobactam,carbapenem,cephalosporin,glycylcycline,penicillin beta-lactam,tetracycline antibiotic,rifamycin antibiotic,phenicol antibiotic,disinfecting agents and antiseptics"	"tigecycline,tetracycline,rifampin,chloramphenicol,ampicillin,cefalotin,triclosan"
"ARO:3000300"	"lsaA"	"ARO:0000017,ARO:0000026,ARO:0000034,ARO:0000050,ARO:3000670"	"ARO:0000066,ARO:3000584,ARO:3000674,ARO:3001317"	"lincosamide antibiotic,streptogramin antibiotic,streptogramin A antibiotic,streptogramin B antibiotic,pleuromutilin antibiotic"	"clindamycin,quinupristin,dalfopristin,pleuromutilin"
"ARO:3000316"	"mphA"	"ARO:0000000"	"ARO:0000006,ARO:0000027,ARO:0000057,ARO:0000065,ARO:3000158,ARO:3000176,ARO:3000867"	"macrolide antibiotic"	"erythromycin,roxithromycin,telithromycin,clarithromycin,azithromycin,dirithromycin,oleandomycin"
"ARO:3000318"	"mphB"	"ARO:0000000"	"ARO:0000006,ARO:0000027,ARO:0000057,ARO:0000065,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000867"	"macrolide antibiotic"	"erythromycin,roxithromycin,telithromycin,clarithromycin,tylosin,spiramycin,azithromycin,dirithromycin,oleandomycin"
"ARO:3000319"	"mphC"	"ARO:0000000"	"ARO:0000006,ARO:0000027,ARO:0000057,ARO:0000065,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000867"	"macrolide antibiotic"	"erythromycin,roxithromycin,telithromycin,clarithromycin,tylosin,spiramycin,azithromycin,dirithromycin,oleandomycin"
"ARO:3000326"	"ErmE"	"ARO:0000000,ARO:0000017,ARO:0000026,ARO:0000034,ARO:0000050"	"ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867"	"macrolide antibiotic,lincosamide antibiotic,streptogramin antibiotic,streptogramin A antibiotic,streptogramin B antibiotic"	"erythromycin,roxithromycin,lincomycin,telithromycin,clarithromycin,clindamycin,tylosin,spiramycin,azithromycin,dirithromycin,pristinamycin IA,quinupristin,virginiamycin M1,madumycin II,griseoviridin,dalfopristin,pristinamycin IB,virginiamycin S2,pristinamycin IC,vernamycin C,patricin A,patricin B,ostreogrycin B3,oleandomycin"
"ARO:3000343"	"tap"	"ARO:3000050"	"ARO:0000051"	"tetracycline antibiotic"	"tetracycline"
"ARO:3000344"	"EmrAB-TolC"	"ARO:0000001"	"ARO:3000661"	"fluoroquinolone antibiotic"	"nalidixic acid"
"ARO:3000347"	"ErmA"	"ARO:0000000,ARO:0000017,ARO:0000026,ARO:0000034,ARO:0000050"	"ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867"	"macrolide antibiotic,lincosamide antibiotic,streptogramin antibiotic,streptogramin A antibiotic,streptogramin B antibiotic"	"erythromycin,roxithromycin,lincomycin,telithromycin,clarithromycin,clindamycin,tylosin,spiramycin,azithromycin,dirithromycin,pristinamycin IA,quinupristin,virginiamycin M1,madumycin II,griseoviridin,dalfopristin,pristinamycin IB,virginiamycin S2,pristinamycin IC,vernamycin C,patricin A,patricin B,ostreogrycin B3,oleandomycin"
"ARO:3000361"	"EreA"	"ARO:0000000"	"ARO:0000006,ARO:0000027,ARO:0000065"	"macrolide antibiotic"	"erythromycin,roxithromycin,clarithromycin"
"ARO:3000363"	"EreB"	"ARO:0000000"	"ARO:0000006,ARO:0000027,ARO:0000065,ARO:3000158"	"macrolide antibiotic"	"erythromycin,roxithromycin,clarithromycin,azithromycin"
"ARO:3000368"	"vanC"	"ARO:3000081"	"ARO:0000028"	"glycopeptide antibiotic"	"vancomycin"
"ARO:3000373"	"EmrKY-TolC"	"ARO:3000050"	"ARO:0000051"	"tetracycline antibiotic"	"tetracycline"
"ARO:3000375"	"ErmB"	"ARO:0000000,ARO:0000017,ARO:0000026,ARO:0000034,ARO:0000050"	"ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867"	"macrolide antibiotic,lincosamide antibiotic,streptogramin antibiotic,streptogramin A antibiotic,streptogramin B antibiotic"	"erythromycin,roxithromycin,lincomycin,telithromycin,clarithromycin,clindamycin,tylosin,spiramycin,azithromycin,dirithromycin,pristinamycin IA,quinupristin,virginiamycin M1,madumycin II,griseoviridin,dalfopristin,pristinamycin IB,virginiamycin S2,pristinamycin IC,vernamycin C,patricin A,patricin B,ostreogrycin B3,oleandomycin"
"ARO:3000377"	"MexA"	"ARO:"	"ARO:"	""	""
"ARO:3000378"	"MexB"	"ARO:"	"ARO:"	""	""
"ARO:3000379"	"OprM"	"ARO:0000000,ARO:0000001,ARO:0000016,ARO:0000020,ARO:0000032,ARO:3000008,ARO:3000050,ARO:3000387,ARO:3005386"	"ARO:0000006,ARO:0000013,ARO:0000014,ARO:0000036,ARO:0000045,ARO:0000051,ARO:0000052,ARO:0000073,ARO:3000158,ARO:3000385,ARO:3000456,ARO:3000662,ARO:3000663,ARO:3007382"	"macrolide antibiotic,fluoroquinolone antibiotic,aminoglycoside antibiotic,carbapenem,cephalosporin,penicillin beta-lactam,tetracycline antibiotic,phenicol antibiotic,disinfecting agents and antiseptics"	"erythromycin,amikacin,gentamicin C,ciprofloxacin,acriflavine,tetracycline,tobramycin,meropenem,azithromycin,chloramphenicol,thiamphenicol,norfloxacin,ofloxacin,gentamicin"
"ARO:3000380"	"FosC"	"ARO:3007149"	"ARO:0000025"	"phosphonic acid antibiotic"	"fosfomycin"
"ARO:3000384"	"AcrAB-TolC"	"ARO:0000001,ARO:0000032,ARO:0000042,ARO:3000008,ARO:3000050,ARO:3000157,ARO:3000387,ARO:3005386"	"ARO:0000030,ARO:0000051,ARO:3000169,ARO:3000385,ARO:3000637,ARO:3000704,ARO:3000870"	"fluoroquinolone antibiotic,cephalosporin,glycylcycline,penicillin beta-lactam,tetracycline antibiotic,rifamycin antibiotic,phenicol antibiotic,disinfecting agents and antiseptics"	"tigecycline,tetracycline,rifampin,chloramphenicol,ampicillin,cefalotin,triclosan"
"ARO:3000391"	"norA"	"ARO:0000001,ARO:3005386"	"ARO:0000036,ARO:0000045,ARO:3000662"	"fluoroquinolone antibiotic,disinfecting agents and antiseptics"	"ciprofloxacin,acriflavine,norfloxacin"
"ARO:3000392"	"Erm(37)"	"ARO:0000000,ARO:0000017,ARO:0000026,ARO:0000034,ARO:0000050"	"ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867"	"macrolide antibiotic,lincosamide antibiotic,streptogramin antibiotic,streptogramin A antibiotic,streptogramin B antibiotic"	"erythromycin,roxithromycin,lincomycin,telithromycin,clarithromycin,clindamycin,tylosin,spiramycin,azithromycin,dirithromycin,pristinamycin IA,quinupristin,virginiamycin M1,madumycin II,griseoviridin,dalfopristin,pristinamycin IB,virginiamycin S2,pristinamycin IC,vernamycin C,patricin A,patricin B,ostreogrycin B3,oleandomycin"
"ARO:3000410"	"sul1"	"ARO:3000282"	"ARO:3000324,ARO:3000325,ARO:3000327,ARO:3000329,ARO:3000330,ARO:3000683,ARO:3000684,ARO:3000698,ARO:3000699"	"sulfonamide antibiotic"	"sulfadiazine,sulfadimidine,sulfadoxine,sulfamethoxazole,sulfisoxazole,sulfacetamide,mafenide,sulfasalazine,sulfamethizole"
"ARO:3000412"	"sul2"	"ARO:3000282"	"ARO:3000324,ARO:3000325,ARO:3000327,ARO:3000329,ARO:3000330,ARO:3000683,ARO:3000684,ARO:3000698,ARO:3000699"	"sulfonamide antibiotic"	"sulfadiazine,sulfadimidine,sulfadoxine,sulfamethoxazole,sulfisoxazole,sulfacetamide,mafenide,sulfasalazine,sulfamethizole"
"ARO:3000413"	"sul3"	"ARO:3000282"	"ARO:3000324,ARO:3000325,ARO:3000327,ARO:3000329,ARO:3000330,ARO:3000683,ARO:3000684,ARO:3000698,ARO:3000699"	"sulfonamide antibiotic"	"sulfadiazine,sulfadimidine,sulfadoxine,sulfamethoxazole,sulfisoxazole,sulfacetamide,mafenide,sulfasalazine,sulfamethizole"
"ARO:3000421"	"norB"	"ARO:0000001"	"ARO:0000036,ARO:0000074,ARO:3000662,ARO:3000666"	"fluoroquinolone antibiotic"	"ciprofloxacin,moxifloxacin,norfloxacin,sparfloxacin"
"ARO:3000423"	"FomA"	"ARO:3007149"	"ARO:0000025"	"phosphonic acid antibiotic"	"fosfomycin"
"ARO:3000444"	"rphA"	"ARO:3000157"	"ARO:3000169,ARO:3000517,ARO:3000530,ARO:3000534"	"rifamycin antibiotic"	"rifampin,rifaximin,rifabutin,rifapentine"
"ARO:3000448"	"QepA1"	"ARO:0000001"	"ARO:0000036,ARO:3000662"	"fluoroquinolone antibiotic"	"ciprofloxacin,norfloxacin"
"ARO:3000449"	"FomB"	"ARO:3007149"	"ARO:0000025"	"phosphonic acid antibiotic"	"fosfomycin"
"ARO:3000462"	"mgtA"	"ARO:0000000"	"ARO:0000006,ARO:3000145,ARO:3000158,ARO:3001232"	"macrolide antibiotic"	"erythromycin,tylosin,azithromycin,methymycin"
"ARO:3000463"	"gimA"	"ARO:0000000"	"ARO:3000145,ARO:3000867,ARO:3001222,ARO:3001232"	"macrolide antibiotic"	"tylosin,oleandomycin,chalcomycin,methymycin"
"ARO:3000464"	"Neisseria gonorrhoeae porin PIB (por)"	"ARO:0000004,ARO:0000020,ARO:0000032,ARO:3000008,ARO:3000050"	"ARO:0000051"	"monobactam,carbapenem,cephalosporin,penicillin beta-lactam,tetracycline antibiotic"	"tetracycline"
"ARO:3000467"	"NDM-5"	"ARO:0000020,ARO:0000032,ARO:3000008"	"ARO:0000008,ARO:0000060,ARO:0000070"	"carbapenem,cephalosporin,penicillin beta-lactam"	"cefoxitin,ceftazidime,ertapenem"
"ARO:3000476"	"tet(31)"	"ARO:3000050"	"ARO:0000051"	"tetracycline antibiotic"	"tetracycline"
"ARO:3000478"	"tet(33)"	"ARO:3000050"	"ARO:0000051"	"tetracycline antibiotic"	"tetracycline"
"ARO:3000481"	"tet(35)"	"ARO:3000050"	"ARO:0000051"	"tetracycline antibiotic"	"tetracycline"
"ARO:3000491"	"acrD"	"ARO:0000016"	"ARO:0000005,ARO:0000013,ARO:0000049,ARO:0000052,ARO:3007382"	"aminoglycoside antibiotic"	"neomycin,amikacin,kanamycin A,tobramycin,gentamicin"
"ARO:3000495"	"ErmD"	"ARO:0000000,ARO:0000017,ARO:0000026,ARO:0000034,ARO:0000050"	"ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867"	"macrolide antibiotic,lincosamide antibiotic,streptogramin antibiotic,streptogramin A antibiotic,streptogramin B antibiotic"	"erythromycin,roxithromycin,lincomycin,telithromycin,clarithromycin,clindamycin,tylosin,spiramycin,azithromycin,dirithromycin,pristinamycin IA,quinupristin,virginiamycin M1,madumycin II,griseoviridin,dalfopristin,pristinamycin IB,virginiamycin S2,pristinamycin IC,vernamycin C,patricin A,patricin B,ostreogrycin B3,oleandomycin"
"ARO:3000498"	"ErmF"	"ARO:0000000,ARO:0000017,ARO:0000026,ARO:0000034,ARO:0000050"	"ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867"	"macrolide antibiotic,lincosamide antibiotic,streptogramin antibiotic,streptogramin A antibiotic,streptogramin B antibiotic"	"erythromycin,roxithromycin,lincomycin,telithromycin,clarithromycin,clindamycin,tylosin,spiramycin,azithromycin,dirithromycin,pristinamycin IA,quinupristin,virginiamycin M1,madumycin II,griseoviridin,dalfopristin,pristinamycin IB,virginiamycin S2,pristinamycin IC,vernamycin C,patricin A,patricin B,ostreogrycin B3,oleandomycin"
"ARO:3000499"	"AcrE"	"ARO:0000001,ARO:0000032,ARO:3000008"	"ARO:0000036"	"fluoroquinolone antibiotic,cephalosporin,penicillin beta-lactam"	"ciprofloxacin"
"ARO:3000501"	"rpoB2"	"ARO:3000157"	"ARO:3000169,ARO:3000517,ARO:3000530,ARO:3000534"	"rifamycin antibiotic"	"rifampin,rifaximin,rifabutin,rifapentine"
"ARO:3000502"	"AcrF"	"ARO:0000001,ARO:0000032,ARO:3000008"	"ARO:0000036"	"fluoroquinolone antibiotic,cephalosporin,penicillin beta-lactam"	"ciprofloxacin"
"ARO:3000504"	"golS"	"ARO:0000004,ARO:0000020,ARO:0000032,ARO:3000008,ARO:3000387"	"ARO:3000385"	"monobactam,carbapenem,cephalosporin,penicillin beta-lactam,phenicol antibiotic"	"chloramphenicol"
"ARO:3000506"	"MexR"	"ARO:"	"ARO:"	""	""
"ARO:3000508"	"gadX"	"ARO:0000000,ARO:0000001,ARO:3000008"	"ARO:0000006,ARO:0000011,ARO:0000056,ARO:3000662"	"macrolide antibiotic,fluoroquinolone antibiotic,penicillin beta-lactam"	"erythromycin,cloxacillin,oxacillin,norfloxacin"
"ARO:3000510"	"Staphylococcus aureus mupB conferring resistance to mupirocin"	"ARO:3007151"	"ARO:3000554"	"mupirocin-like antibiotic"	"mupirocin"
"ARO:3000516"	"emrR"	"ARO:0000001"	"ARO:3000661"	"fluoroquinolone antibiotic"	"nalidixic acid"
"ARO:3000518"	"CRP"	"ARO:0000000,ARO:0000001,ARO:3000008"	"ARO:0000006,ARO:0000011,ARO:0000056,ARO:3000662"	"macrolide antibiotic,fluoroquinolone antibiotic,penicillin beta-lactam"	"erythromycin,cloxacillin,oxacillin,norfloxacin"
"ARO:3000521"	"Staphylococcus aureus mupA conferring resistance to mupirocin"	"ARO:3007151"	"ARO:3000554"	"mupirocin-like antibiotic"	"mupirocin"
